Violation Time,count
0836A,900
0806A,754
0936A,737
0840A,729
1140A,729
0906A,726
1136A,721
0940A,678
1138A,663
1139A,663
0837A,659
0838A,658
1141A,642
0839A,639
0845A,638
1145A,636
1137A,630
0939A,624
0945A,623
0938A,621
0910A,611
0937A,611
1146A,610
1142A,606
0912A,596
0907A,595
1143A,595
0909A,592
0908A,592
0941A,587
0942A,585
0850A,582
0807A,582
1144A,573
0943A,572
0846A,563
0842A,562
0810A,556
0915A,553
0920A,551
1110A,551
0913A,549
0944A,549
1147A,548
0844A,548
1149A,547
0145P,545
0950A,544
0843A,543
1106A,538
1155A,535
1150A,534
0948A,530
0848A,521
1148A,520
1000A,519
0841A,519
0815A,518
1108A,518
0911A,517
0205P,516
0955A,515
0808A,514
0914A,513
0949A,510
0900A,507
0930A,506
0135P,504
1007A,502
0947A,502
0916A,501
0110P,501
0811A,500
1010A,500
0115P,500
0105P,499
0406P,498
0120P,498
0151P,498
0113P,497
1115A,496
0847A,496
0150P,495
0215P,494
0946A,494
0809A,493
0200P,493
0952A,493
0155P,492
0855A,490
0142P,490
1111A,490
0131P,488
0140P,488
0125P,488
1210P,488
0130P,486
0127P,486
1107A,486
0736A,485
0134P,484
1112A,484
1153A,483
1151A,483
0144P,481
0143P,481
0206P,481
1109A,480
0109P,480
1114A,477
0132P,476
1113A,474
0158P,473
1152A,473
0149P,472
0812A,472
0114P,472
0917A,471
0853A,470
1020A,469
0153P,469
0220P,469
1015A,469
0210P,468
1120A,468
1157A,467
0216P,467
0918A,466
0128P,465
0133P,465
1005A,465
0207P,462
0136P,462
0919A,462
1006A,461
0152P,461
0106P,461
0102P,460
0121P,460
0922A,460
0147P,460
0138P,460
0118P,459
0129P,459
0157P,458
0953A,458
0122P,457
0116P,457
0103P,457
0126P,456
0926A,455
1205P,455
1158A,454
0927A,454
0954A,454
0111P,454
1200P,453
0112P,453
0148P,452
0923A,452
0813A,452
0858A,450
0146P,450
0203P,449
0854A,449
1018A,449
0117P,448
0849A,448
0852A,447
0921A,447
0240P,446
0100P,446
0108P,445
0925A,445
0119P,444
0935A,444
0139P,442
1118A,441
1009A,440
0223P,439
0209P,439
1002A,439
1116A,439
0204P,439
0104P,439
0224P,438
0212P,437
1215P,437
1156A,437
0154P,436
0124P,436
0820A,435
0230P,435
0951A,435
0214P,434
0141P,434
0245P,433
1208P,433
0159P,433
0213P,433
0201P,433
0221P,433
0156P,432
1117A,432
0219P,432
0958A,431
1125A,430
0123P,430
0137P,429
1201P,429
1202P,429
1008A,428
0928A,425
0956A,424
0957A,424
0227P,423
0218P,423
0225P,423
1207P,423
1154A,423
1012A,423
1130A,419
1013A,419
1014A,418
0235P,417
1206P,417
1003A,416
0222P,416
0851A,416
0107P,416
1159A,416
0232P,415
1250P,415
0816A,415
0202P,414
0242P,413
1216P,411
0818A,411
0244P,411
0211P,411
1040A,410
1122A,410
1011A,409
0300P,409
0905A,408
1038A,408
1023A,408
1019A,408
0208P,408
1030A,408
0706A,407
1203P,407
1022A,407
1121A,406
1123A,406
0924A,406
1124A,406
0226P,406
1209P,405
0817A,404
1218P,404
1220P,404
0249P,404
0959A,403
0857A,403
1025A,403
1017A,403
1259P,403
1255P,402
0740A,401
1119A,401
1001A,399
1126A,399
1004A,399
0814A,398
0239P,398
1211P,398
1251P,397
1225P,397
0933A,397
0243P,397
0101P,397
0217P,396
1230P,396
0856A,396
0228P,395
1245P,395
0247P,394
1257P,393
0229P,393
0246P,393
0929A,392
1045A,392
1021A,392
1258P,391
1100A,391
0236P,391
0931A,389
0407P,389
0255P,388
1135A,388
1035A,388
1219P,387
1212P,387
0250P,387
1222P,387
1055A,387
0241P,385
1037A,384
1214P,384
0737A,384
1217P,384
0252P,383
1247P,383
0234P,382
0859A,382
1105A,382
1034A,382
0902A,382
1244P,381
0231P,381
1240P,381
1213P,379
0420P,379
1050A,379
1248P,379
0304P,377
0233P,377
0830A,376
1242P,376
0237P,375
0409P,375
1016A,374
1256P,374
0408P,374
1033A,373
0932A,373
1246P,373
1041A,371
0934A,371
1223P,371
0823A,371
1221P,370
1036A,370
1028A,369
1254P,368
0901A,368
0819A,367
1233P,367
1249P,366
0251P,366
1235P,366
0248P,366
0258P,364
1024A,363
1127A,363
0821A,363
1128A,363
1029A,362
0238P,362
1026A,361
0904A,361
0825A,360
1253P,359
0301P,359
0822A,359
0413P,359
1227P,358
0310P,358
1039A,358
1224P,357
0903A,356
1032A,356
1204P,355
1237P,354
0254P,353
1043A,353
0315P,351
1226P,351
1238P,351
1134A,350
0738A,349
1027A,348
1228P,348
1252P,347
0253P,346
0256P,346
0410P,345
1046A,344
1042A,342
1052A,341
0317P,340
1132A,340
0303P,339
0312P,339
0257P,339
0320P,338
0302P,337
0419P,337
0259P,337
1231P,336
1133A,334
1103A,333
1131A,333
1053A,333
0309P,333
1048A,333
1047A,333
0322P,333
1229P,332
0741A,332
0415P,332
0316P,331
0425P,331
0412P,330
1243P,330
0405P,330
1101A,329
0305P,328
0308P,328
0744A,327
1129A,327
0323P,326
0827A,325
0325P,324
0306P,324
1241P,324
1102A,323
1239P,323
1232P,322
0824A,321
0418P,321
1057A,321
0307P,320
0313P,319
0340P,319
0708A,319
0330P,319
1049A,318
1031A,318
0423P,317
0430P,317
0739A,316
0311P,316
1234P,315
0440P,313
0411P,312
0319P,311
0835A,311
0414P,310
1104A,310
1059A,309
1051A,309
1236P,309
0327P,308
0335P,308
0421P,308
1054A,307
0745A,306
1044A,306
0515P,305
0338P,304
0435P,303
0826A,302
1058A,301
0314P,300
0427P,300
0416P,299
0355P,299
0417P,299
0400P,298
0350P,297
1056A,296
0328P,294
0422P,293
0336P,293
0742A,292
0358P,292
0326P,291
0833A,290
0318P,289
0831A,288
0424P,288
0324P,288
0500P,287
0710A,286
0832A,286
0431P,285
0337P,285
0441P,284
0333P,284
0348P,283
0437P,283
0743A,283
0332P,283
0351P,279
0321P,279
0828A,279
0345P,278
0439P,277
0436P,277
0445P,277
0709A,277
0432P,276
0750A,275
0438P,275
0510P,275
0746A,273
0707A,273
0450P,273
0353P,273
0434P,272
0331P,272
0342P,271
0349P,271
0404P,271
0343P,271
0426P,271
0347P,271
0452P,268
0530P,268
0448P,267
0334P,267
0339P,266
0455P,266
0346P,265
0748A,265
0428P,265
0433P,264
0713A,263
0829A,263
0341P,262
0712A,262
0747A,262
0403P,261
0755A,260
0447P,260
0505P,258
0443P,258
0352P,257
0711A,256
0402P,255
0429P,253
0520P,252
0444P,252
0329P,252
0600P,251
0446P,251
0356P,250
0834A,249
0344P,249
0540P,248
0359P,248
0401P,248
0451P,246
0442P,246
0453P,243
0449P,240
0514P,240
0525P,239
0527P,239
0715A,239
0456P,238
0506P,238
0507P,238
0550P,238
0716A,237
0458P,237
0503P,237
0749A,236
0535P,233
0354P,232
0357P,232
0536P,231
0754A,231
0454P,230
0753A,230
0533P,229
0714A,228
0512P,228
0508P,226
0800A,225
0805A,224
0610P,223
0751A,223
0502P,219
0511P,219
0501P,219
0538P,219
0752A,218
0720A,217
0504P,216
0519P,215
0531P,215
0722A,214
0721A,213
0457P,213
0542P,213
0523P,212
0611P,212
0548P,212
0718A,211
0727A,211
0522P,211
0545P,210
0555P,210
0516P,208
0717A,208
0534P,208
0546P,207
0609P,207
0757A,205
0529P,205
0543P,205
0459P,204
0730A,204
0719A,203
0556P,203
0547P,202
0553P,202
0528P,202
0615P,201
0544P,200
0513P,200
0612P,200
0509P,199
0537P,199
0518P,198
0524P,197
0802A,196
0603P,195
0526P,195
0735A,194
0605P,194
0554P,193
0726A,193
0723A,192
0539P,191
0541P,191
0756A,190
0552P,190
0601P,189
0725A,189
0620P,189
0724A,185
0729A,185
0733A,184
0517P,183
0608P,183
0549P,183
0521P,182
0602P,182
0532P,181
0606P,181
0731A,178
0614P,177
0604P,177
0630P,174
0551P,174
0557P,173
0758A,171
0801A,170
0558P,169
0607P,168
0728A,167
0619P,167
0622P,166
0625P,166
0759A,164
0734A,163
0618P,161
0623P,161
0732A,161
0559P,159
0616P,157
0804A,155
0628P,153
0613P,152
0635P,151
0617P,146
0803A,146
0700A,146
0621P,145
0627P,142
0624P,140
0633P,137
0645A,136
0634P,136
0626P,135
0650A,134
0632P,134
0631P,130
0638P,130
0629P,128
0642A,127
0705A,126
0636A,124
0640P,121
0645P,121
0636P,118
0640A,118
0900P,118
0630A,118
0637P,117
0650P,116
0648A,115
0930P,114
0642P,114
0100A,113
0646A,113
0110A,111
0830P,111
0614A,111
0638A,111
0643A,111
0655A,109
0639A,109
0654A,108
0611A,108
0627A,108
0639P,108
0625A,107
0649A,107
0635A,107
0703A,106
0624A,106
0850P,105
0633A,105
0150A,105
0915P,105
0120A,104
0910P,103
0628A,103
0845P,103
0626A,103
0651A,103
0130A,102
0653A,102
0600A,102
0647A,101
0610A,101
0644A,100
0920P,100
0200A,100
0643P,99
0602A,99
0825P,99
0620A,98
0641A,98
0632A,97
0615A,97
0945P,97
0652A,97
0644P,97
0702A,97
0617A,96
0607A,96
0701A,96
0616A,96
0840P,95
0609A,95
0940P,94
0612A,94
0637A,94
0613A,94
0656A,94
0641P,94
0634A,94
0230A,92
1030P,92
0646P,92
0210A,92
0835P,91
0810P,91
0659A,91
0925P,90
0631A,90
0300A,90
0605A,90
0815P,88
0704A,88
0905P,88
0606A,87
0215A,87
0657A,87
0648P,86
0621A,86
0315A,86
0619A,86
1115P,86
0140A,86
0730P,86
0908P,86
0105A,86
0820P,86
0622A,86
1010P,85
0855P,85
0629A,85
0618A,85
0935P,84
1110P,84
0155A,84
1040P,84
0601A,84
0553A,83
1100P,83
0652P,83
0658A,82
0847P,82
0250A,82
0623A,81
1105P,81
0320A,80
0115A,80
0558A,80
0903P,80
0715P,80
0608A,80
0912P,80
0310A,80
0838P,79
0603A,79
0145A,79
1015P,79
0858P,79
0800P,78
1035P,78
0330A,78
0818P,78
0809P,78
0655P,78
0914P,77
0805P,77
1025P,77
0834P,77
0913P,77
0555A,77
0822P,77
1020P,76
0647P,76
0651P,76
0846P,75
1045P,75
1000P,75
0836P,75
0135A,75
0851P,75
0852P,75
0604A,74
1106P,74
0923P,74
0556A,74
0649P,74
0902P,73
0857P,73
1005P,73
0700P,73
0205A,73
0559A,73
0928P,73
0941P,73
0832P,73
0944P,72
0942P,72
1013P,72
0842P,72
0849P,72
0919P,72
0240A,72
0819P,72
0828P,72
0917P,72
0550A,71
0907P,71
0829P,71
0918P,71
0554A,71
0837P,70
0710P,70
0551A,70
0653P,70
0922P,70
0225A,69
1008P,69
1007P,69
0924P,69
1050P,69
0720P,69
0557A,69
0220A,69
0827P,69
0839P,68
1220A,68
1108P,68
0325A,68
0921P,68
0816P,68
0933P,68
1107P,68
0826P,68
0255A,67
0906P,67
0955P,67
0938P,67
1245A,67
0245A,67
1240A,66
0125A,66
1120P,66
0824P,65
0841P,65
0943P,65
0950P,65
0654P,65
0545A,65
0235A,65
0859P,65
0735P,64
0937P,64
0814P,64
0750P,64
0812P,64
0547A,64
1230A,63
0916P,63
1235A,63
0948P,63
0806P,63
0936P,63
0954P,63
0844P,63
0949P,62
0823P,62
0705P,62
0817P,62
0813P,62
0934P,61
0808P,61
0821P,61
1210A,61
0552A,61
1215A,61
0911P,60
0305A,60
0853P,60
1055P,60
0807P,60
0848P,59
0953P,59
0939P,59
0811P,59
0755P,58
0854P,58
0549A,58
0909P,58
1117P,57
1011P,57
0932P,57
0804P,57
0931P,57
0926P,57
0927P,56
0904P,56
0856P,56
1023P,56
0952P,56
0946P,56
0833P,56
1027P,55
,55
0208A,55
1112P,55
0546A,55
1006P,55
0831P,55
1109P,54
0312A,54
1009P,54
0112A,54
1028P,54
0658P,54
1012P,54
0659P,54
0843P,53
0740P,53
0138A,53
1114P,53
0901P,53
1016P,53
1250A,53
1049P,52
0745P,52
0309A,52
0947P,52
0113A,51
0725P,51
1018P,51
0107A,51
1017P,51
0957P,51
0718P,50
1150P,50
0102A,50
0707P,50
0316A,50
0114A,50
1022P,50
1130P,50
0548A,49
0733P,49
1255A,49
0801P,49
0234A,49
0126A,48
1124P,48
0712P,48
1123P,48
1205A,48
1014P,47
1004P,47
0108A,47
0010A,46
0111A,46
1225A,46
0741P,46
0147A,46
0544A,46
0025A,46
1113P,46
1041P,46
0106A,46
0258A,46
1155P,46
1051P,46
0000A,46
1032P,45
0657P,45
0306A,45
0711P,45
0119A,45
0209A,44
0117A,44
0958P,44
0803P,44
0340A,44
0322A,44
0226A,44
0143A,44
0753P,44
1135P,44
0749P,44
0722P,44
0313A,43
0142A,43
0101A,43
0223A,43
0307A,43
1111P,43
1036P,43
0103A,43
1047P,43
0540A,43
0319A,43
1140P,43
0232A,43
0211A,43
1024P,43
0156A,43
1046P,43
0118A,42
0541A,42
0212A,42
1044P,42
1125P,42
0109A,42
0951P,42
0308A,42
0132A,42
0014A,42
0956P,41
0127A,41
0311A,41
0007A,41
1033P,41
1021P,41
0201A,41
0015A,41
0214A,41
0742P,41
0228A,41
0802P,41
1042P,41
0137A,41
0040A,40
0136A,40
0542A,40
1052P,40
0929P,40
1002P,40
0335A,40
0216A,40
0152A,40
0543A,40
1119P,39
0243A,39
0656P,39
0141A,39
0217A,39
0006A,39
0736P,39
0221A,39
0248A,39
0321A,39
0345A,39
0744P,39
0012A,39
0236A,38
1043P,38
0227A,38
1158P,38
0026A,38
0045A,38
0535A,38
0302A,38
0206A,38
0207A,38
1003P,38
0129A,38
1039P,38
0128A,38
0756P,38
0008A,38
1038P,38
0328A,37
0009A,37
0246A,37
0327A,37
0123A,37
0247A,37
0430A,37
0716P,37
1057P,37
0350A,37
0018A,37
0238A,37
1116P,37
1034P,37
0222A,37
1127P,37
1137P,37
1118P,37
1031P,36
0121A,36
0242A,36
0134A,36
1037P,36
0723P,36
0133A,36
0030A,36
0151A,36
1056P,36
0738P,36
1053P,36
0244A,36
0011A,36
0023A,35
0709P,35
0149A,35
0148A,35
1145P,35
0019A,35
0252A,35
0251A,35
1054P,35
0224A,35
0757P,35
0329A,35
0727P,35
1058P,35
1029P,35
0154A,35
0701P,35
0717P,35
0219A,35
0314A,34
0233A,34
0218A,34
0122A,34
1134P,34
0016A,34
0400A,34
0743P,34
0724P,34
1219A,34
0324A,34
1128P,34
0231A,34
1133P,34
0713P,34
0450A,34
0708P,34
0317A,34
0759P,34
1129P,34
0239A,34
1142P,33
0144A,33
0139A,33
0124A,33
0013A,33
0520A,33
1026P,33
0050A,33
0751P,33
0752P,33
0318A,33
0440A,32
1208A,32
0326A,32
0754P,32
0746P,32
0104A,32
1139P,32
0747P,32
0758P,32
1136P,31
0728P,31
1102P,31
0702P,31
0323A,31
0731P,31
1144P,31
0536A,31
1048P,31
0726P,31
0538A,31
1200A,31
0158A,31
0046A,31
0237A,31
1059P,31
0131A,31
0748P,31
0035A,31
0204A,31
1143P,31
0959P,31
0703P,30
0159A,30
0203A,30
0415A,30
0256A,30
0301A,30
0036A,30
0038A,30
0355A,30
0257A,30
0202A,30
1132P,30
0153A,30
0116A,29
0539A,29
1154P,29
0303A,29
0032A,29
1126P,29
0034A,29
1242A,29
1001P,29
0410A,29
0719P,28
0420A,28
0537A,28
1157P,28
0515A,28
1211A,28
0022A,28
0704P,28
1121P,28
0706P,28
0737P,28
1101P,28
0020A,28
0721P,28
0043A,28
0157A,28
0213A,28
0525A,28
0254A,28
1152P,27
1159P,27
0304A,27
0027A,27
0029A,27
1148P,27
0241A,27
0033A,27
1236A,27
0017A,27
0530A,27
1122P,27
1103P,27
0229A,27
0714P,27
0500A,27
0253A,26
1218A,26
0332A,26
1248A,26
0331A,26
0732P,26
1203A,26
0505A,26
1258A,26
1212A,26
0739P,26
0534A,26
1149P,26
1233A,25
1141P,25
1237A,25
0333A,25
1019P,25
1253A,25
0734P,25
1131P,25
0054A,25
0039A,25
0028A,25
0058A,25
1217A,24
0053A,24
0055A,24
1104P,24
0729P,24
0146A,24
1228A,24
1232A,24
0052A,24
1147P,24
1151P,24
0337A,24
0024A,24
0048A,24
0336A,24
0021A,24
0338A,23
1207A,23
0051A,23
0259A,23
1156P,23
1153P,23
1231A,22
0334A,22
0037A,22
0339A,21
1238A,21
1256A,21
1202A,21
1254A,21
0249A,21
0510A,21
0402A,21
0042A,21
0346A,21
0404A,20
1227A,20
1226A,20
0457A,20
1138P,20
0049A,20
1146P,20
0435A,20
1213A,20
0343A,20
0528A,20
1243A,20
0445A,19
0405A,19
0514A,19
1241A,19
0047A,19
0348A,19
0531A,19
0422A,19
1249A,19
0527A,19
1216A,18
0421A,18
1239A,18
1209A,18
0411A,18
0059A,18
0454A,18
0344A,18
0031A,18
0041A,18
0533A,18
0056A,17
0005A,17
0044A,17
0357A,17
1246A,17
1222A,17
1201A,17
1223A,17
0354A,17
0425A,17
1257A,17
0512A,17
0352A,16
0342A,16
0532A,16
