Issuing Agency,Violation Code,count
T,38,39462
T,21,35078
T,14,23985
T,37,23352
T,20,14493
T,71,14237
V,7,13872
T,40,11296
T,69,8371
P,46,7250
T,46,6880
T,16,6816
T,19,6651
T,70,6069
T,31,5471
V,5,4119
T,47,3271
S,21,3183
P,40,2895
V,36,2859
T,17,2796
T,42,2734
P,14,2517
P,20,2364
P,19,2354
T,50,2092
P,71,1981
T,74,1860
T,84,1623
T,51,1591
T,48,1570
P,78,1204
P,21,1106
T,78,1079
P,98,1042
T,82,1004
T,13,958
T,10,860
P,67,798
P,45,794
T,53,764
T,85,742
P,74,663
P,70,646
T,83,607
X,46,549
T,77,540
T,24,489
T,18,474
T,64,439
P,47,422
T,66,406
P,50,400
X,21,368
T,39,363
X,14,347
T,68,338
T,61,336
P,17,316
P,51,302
X,20,297
T,60,294
X,40,281
T,72,277
P,27,276
X,71,256
X,19,227
P,38,205
T,67,203
P,24,201
P,83,196
P,16,195
T,35,189
P,66,189
T,75,168
P,18,163
P,37,156
T,73,147
P,99,147
P,48,147
T,9,134
P,85,127
P,9,124
T,89,123
P,80,119
T,98,117
P,41,115
T,11,111
X,78,106
P,31,103
T,45,102
S,66,100
X,38,98
X,70,96
X,98,89
P,62,87
T,23,84
T,80,83
X,45,77
T,8,77
P,60,73
X,17,67
X,67,65
T,62,65
P,84,64
T,27,63
P,61,54
X,74,52
P,77,51
P,53,50
X,94,48
P,64,47
P,10,47
S,78,46
X,50,44
T,49,42
K,20,38
P,91,38
P,68,38
K,14,37
X,51,32
X,24,32
X,47,32
X,37,31
X,27,29
K,63,27
X,16,24
S,20,23
P,34,23
K,24,22
A,14,22
X,48,21
X,99,21
X,66,20
X,68,20
P,72,20
T,91,20
T,52,20
T,4,19
P,49,19
S,85,18
X,83,17
S,80,17
P,75,16
T,43,16
P,79,16
P,52,15
P,95,15
X,85,14
X,41,14
K,51,14
S,14,13
X,62,13
T,32,12
X,18,12
P,11,12
S,46,12
S,41,12
P,82,11
X,9,11
P,13,11
X,31,10
P,63,10
K,27,9
X,53,9
C,17,9
K,98,9
X,10,9
X,80,8
S,17,8
X,84,8
X,63,8
P,73,8
T,94,8
T,25,8
T,79,7
P,59,6
S,40,6
P,97,6
T,59,6
X,64,6
P,15,6
P,6,6
P,55,6
A,20,5
P,65,5
P,56,5
P,92,5
F,14,5
P,90,5
K,62,5
K,71,5
X,60,4
F,40,4
K,45,4
X,75,4
X,91,4
K,67,4
T,26,4
O,71,4
X,77,4
P,96,4
S,67,4
T,55,4
A,38,4
P,4,4
P,94,3
P,12,3
A,71,3
P,69,3
X,61,3
S,51,3
P,35,3
K,19,3
X,69,3
K,91,3
K,39,3
K,74,3
K,10,3
A,70,3
P,25,3
K,48,3
X,52,2
K,46,2
S,74,2
K,16,2
A,41,2
X,57,2
X,82,2
X,79,2
F,17,2
T,81,2
K,53,2
K,40,2
D,27,2
T,92,2
A,27,2
P,81,2
O,83,2
O,78,2
X,72,2
P,89,2
P,8,2
S,53,2
P,76,2
C,45,2
S,70,2
P,93,2
P,88,2
K,68,2
K,17,2
S,84,2
D,20,2
K,21,2
T,22,2
S,38,2
P,86,1
X,58,1
X,65,1
X,42,1
C,40,1
X,7,1
X,23,1
S,19,1
X,2,1
T,44,1
S,50,1
S,98,1
P,58,1
P,43,1
P,57,1
B,71,1
O,80,1
O,46,1
X,6,1
P,23,1
B,74,1
O,19,1
X,55,1
K,49,1
H,24,1
K,31,1
H,17,1
A,62,1
S,27,1
N,17,1
A,17,1
P,26,1
X,13,1
K,38,1
X,11,1
X,39,1
K,57,1
S,64,1
T,34,1
P,22,1
M,20,1
M,19,1
X,59,1
S,56,1
P,5,1
P,54,1
K,80,1
K,70,1
S,83,1
X,49,1
S,61,1
P,39,1
X,28,1
X,93,1
K,78,1
P,42,1
S,6,1
K,41,1
A,46,1
